;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;F03;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F04;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F05;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F06;FAM;;Unkn;;;38,4635805616769;38,4635805616769;0;NaN;NaN;NaN;0;58;
;F07;FAM;;Unkn;;;38,1616655832941;38,1616655832941;0;NaN;NaN;NaN;0;58;
;F08;FAM;;Unkn;;;28,8628006607281;28,8628006607281;0;NaN;NaN;NaN;0;58;
;F09;FAM;;Unkn;;;28,7142410219242;28,7142410219242;0;NaN;NaN;NaN;0;58;
;F10;FAM;;Unkn;;;28,4088613386555;28,4088613386555;0;NaN;NaN;NaN;0;58;
;F11;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F12;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;G01;FAM;;Unkn;;;32,2275319654377;32,2275319654377;0;NaN;NaN;NaN;0;58;
;G02;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;G03;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;G04;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;G05;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;G06;FAM;;Unkn;;;35,5613438154841;35,5613438154841;0;NaN;NaN;NaN;0;58;
;G07;FAM;;Unkn;;;37,6508012784882;37,6508012784882;0;NaN;NaN;NaN;0;58;
;G08;FAM;;Unkn;;;23,2751593206456;23,2751593206456;0;NaN;NaN;NaN;0;58;
;G09;FAM;;Unkn;;;23,1397215802075;23,1397215802075;0;NaN;NaN;NaN;0;58;
;G10;FAM;;Unkn;;;32,4068548548678;32,4068548548678;0;NaN;NaN;NaN;0;58;
;G11;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;G12;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H01;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H02;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H03;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H04;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H05;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H06;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H07;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H08;FAM;;Unkn;;;31,0266011918828;31,0266011918828;0;NaN;NaN;NaN;0;58;
;H09;FAM;;Unkn;;;31,0055855976842;31,0055855976842;0;NaN;NaN;NaN;0;58;
;H10;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H11;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H12;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;A01;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;A02;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;A03;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;A04;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;A05;HEX;;Unkn;;;35,3060901882432;35,3060901882432;0;NaN;NaN;NaN;0;58;
;A06;HEX;;Unkn;;;36,6237076708817;36,6237076708817;0;NaN;NaN;NaN;0;58;
;A07;HEX;;Unkn;;;36,7636581083561;36,7636581083561;0;NaN;NaN;NaN;0;58;
;A08;HEX;;Unkn;;;29,5844086271163;29,5844086271163;0;NaN;NaN;NaN;0;58;
;A09;HEX;;Unkn;;;29,7599314680078;29,7599314680078;0;NaN;NaN;NaN;0;58;
;A10;HEX;;Unkn;;;29,8387884382408;29,8387884382408;0;NaN;NaN;NaN;0;58;
;A11;HEX;;Unkn;;;34,3261751491431;34,3261751491431;0;NaN;NaN;NaN;0;58;
;A12;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;B01;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;B02;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;B03;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;B04;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;B05;HEX;;Unkn;;;29,7858195898921;29,7858195898921;0;NaN;NaN;NaN;0;58;
;B06;HEX;;Unkn;;;34,7667992131979;34,7667992131979;0;NaN;NaN;NaN;0;58;
;B07;HEX;;Unkn;;;34,7182954633054;34,7182954633054;0;NaN;NaN;NaN;0;58;
;B08;HEX;;Unkn;;;30,3883566614807;30,3883566614807;0;NaN;NaN;NaN;0;58;
;B09;HEX;;Unkn;;;30,4051398177445;30,4051398177445;0;NaN;NaN;NaN;0;58;
;B10;HEX;;Unkn;;;30,3027563908774;30,3027563908774;0;NaN;NaN;NaN;0;58;
;B11;HEX;;Unkn;;;29,2070441709115;29,2070441709115;0;NaN;NaN;NaN;0;58;
;B12;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;C01;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;C02;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;C03;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;C04;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;C05;HEX;;Unkn;;;34,0407834021451;34,0407834021451;0;NaN;NaN;NaN;0;58;
;C06;HEX;;Unkn;;;35,2978346677446;35,2978346677446;0;NaN;NaN;NaN;0;58;
;C07;HEX;;Unkn;;;34,9414584370665;34,9414584370665;0;NaN;NaN;NaN;0;58;
;C08;HEX;;Unkn;;;26,9045141987286;26,9045141987286;0;NaN;NaN;NaN;0;58;
;C09;HEX;;Unkn;;;27,1173265733455;27,1173265733455;0;NaN;NaN;NaN;0;58;
;C10;HEX;;Unkn;;;34,4810138316778;34,4810138316778;0;NaN;NaN;NaN;0;58;
;C11;HEX;;Unkn;;;34,244919066966;34,244919066966;0;NaN;NaN;NaN;0;58;
;C12;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;D01;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;D02;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;D03;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;D04;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;D05;HEX;;Unkn;;;32,4057059812548;32,4057059812548;0;NaN;NaN;NaN;0;58;
;D06;HEX;;Unkn;;;32,1850727125603;32,1850727125603;0;NaN;NaN;NaN;0;58;
;D07;HEX;;Unkn;;;31,7609299993708;31,7609299993708;0;NaN;NaN;NaN;0;58;
;D08;HEX;;Unkn;;;35,7926961944879;35,7926961944879;0;NaN;NaN;NaN;0;58;
;D09;HEX;;Unkn;;;37,2053561086322;37,2053561086322;0;NaN;NaN;NaN;0;58;
;D10;HEX;;Unkn;;;31,4583765736513;31,4583765736513;0;NaN;NaN;NaN;0;58;
;D11;HEX;;Unkn;;;31,4303908373662;31,4303908373662;0;NaN;NaN;NaN;0;58;
;D12;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E01;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E02;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E03;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E04;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E05;HEX;;Unkn;;;31,3276521648635;31,3276521648635;0;NaN;NaN;NaN;0;58;
;E06;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E07;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E08;HEX;;Unkn;;;30,06675786368;30,06675786368;0;NaN;NaN;NaN;0;58;
;E09;HEX;;Unkn;;;29,8446372725899;29,8446372725899;0;NaN;NaN;NaN;0;58;
;E10;HEX;;Unkn;;;35,5559060208418;35,5559060208418;0;NaN;NaN;NaN;0;58;
;E11;HEX;;Unkn;;;33,741865605635;33,741865605635;0;NaN;NaN;NaN;0;58;
;E12;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F01;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F02;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F03;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F04;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F05;HEX;;Unkn;;;29,5380210267108;29,5380210267108;0;NaN;NaN;NaN;0;58;
;F06;HEX;;Unkn;;;37,4977209922821;37,4977209922821;0;NaN;NaN;NaN;0;58;
;F07;HEX;;Unkn;;;38,4952135586854;38,4952135586854;0;NaN;NaN;NaN;0;58;
;F08;HEX;;Unkn;;;30,1384507790978;30,1384507790978;0;NaN;NaN;NaN;0;58;
;F09;HEX;;Unkn;;;29,875032181795;29,875032181795;0;NaN;NaN;NaN;0;58;
;F10;HEX;;Unkn;;;28,0291765142942;28,0291765142942;0;NaN;NaN;NaN;0;58;
;F11;HEX;;Unkn;;;32,5435655526669;32,5435655526669;0;NaN;NaN;NaN;0;58;
;F12;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;G01;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;G02;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;G03;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;G04;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;G05;HEX;;Unkn;;;34,1507274439976;34,1507274439976;0;NaN;NaN;NaN;0;58;
;G06;HEX;;Unkn;;;32,7762018471594;32,7762018471594;0;NaN;NaN;NaN;0;58;
;G07;HEX;;Unkn;;;32,5602867875334;32,5602867875334;0;NaN;NaN;NaN;0;58;
;G08;HEX;;Unkn;;;23,3099077566684;23,3099077566684;0;NaN;NaN;NaN;0;58;
;G09;HEX;;Unkn;;;23,4328352390937;23,4328352390937;0;NaN;NaN;NaN;0;58;
;G10;HEX;;Unkn;;;31,4974167023302;31,4974167023302;0;NaN;NaN;NaN;0;58;
;G11;HEX;;Unkn;;;31,7316071007485;31,7316071007485;0;NaN;NaN;NaN;0;58;
;G12;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H01;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H02;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H03;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H04;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H05;HEX;;Unkn;;;35,4602313114279;35,4602313114279;0;NaN;NaN;NaN;0;58;
;H06;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H07;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H08;HEX;;Unkn;;;32,0607008849396;32,0607008849396;0;NaN;NaN;NaN;0;58;
;H09;HEX;;Unkn;;;32,0397733958695;32,0397733958695;0;NaN;NaN;NaN;0;58;
;H10;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;H11;HEX;;Unkn;;;30,6038797670192;30,6038797670192;0;NaN;NaN;NaN;0;58;
;H12;HEX;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
